State,State_Code,EV,Rep_Mean,Dem_Mean,Other_Mean,Rep_80_tol,Dem_80_tol,Other_80_tol,y
Alabama,AL,9,0.592,0.4,0.008,0.055,0.055,0.004,
Alaska,AK,3,0.523,0.455,0.022,0.06,0.06,0.011,
Arizona,AZ,11,0.479,0.508,0.013,0.044,0.044,0.006,
Arkansas,AR,6,0.583,0.402,0.015,0.056,0.056,0.008,
California,CA,55,0.337,0.644,0.019,0.05,0.05,0.009,
Colorado,CO,9,0.434,0.548,0.018,0.045,0.046,0.009,
Connecticut,CN,7,0.383,0.609,0.008,0.044,0.044,0.004,
Delaware,DE,3,0.363,0.625,0.012,0.036,0.036,0.006,
District of Columbia,DC,3,0.067,0.9,0.033,0.02,0.026,0.017,
Florida,FL,29,0.479,0.513,0.008,0.039,0.04,0.004,
Georgia,GA,16,0.496,0.496,0.008,0.037,0.037,0.004,
Hawaii,HI,4,0.318,0.666,0.015,0.076,0.076,0.008,
Idaho,ID,4,0.605,0.367,0.028,0.052,0.051,0.014,
Illinois,IL,20,0.395,0.591,0.014,0.035,0.035,0.007,
Indiana,IN,11,0.545,0.441,0.013,0.042,0.042,0.007,
Iowa,IA,6,0.5,0.487,0.012,0.044,0.044,0.006,
Kansas,KS,6,0.54,0.442,0.018,0.042,0.042,0.009,
Kentucky,KY,8,0.592,0.397,0.012,0.051,0.051,0.006,
Louisiana,LA,8,0.57,0.422,0.008,0.061,0.061,0.004,
Maine,ME,2,0.432,0.553,0.015,0.062,0.062,0.007,
Maryland,MD,10,0.336,0.651,0.014,0.044,0.044,0.007,
Massachusetts,MA,11,0.316,0.669,0.015,0.053,0.053,0.007,
ME-1,ME-1,1,0.379,0.607,0.014,0.067,0.067,0.007,
ME-2,ME-2,1,0.49,0.494,0.016,0.066,0.067,0.008,
Michigan,MI,16,0.456,0.533,0.011,0.037,0.037,0.005,
Minnesota,MN,10,0.45,0.535,0.015,0.039,0.039,0.008,
Mississippi,MS,6,0.557,0.435,0.008,0.068,0.068,0.004,
Missouri,MO,10,0.537,0.45,0.013,0.044,0.044,0.007,
Montana,MT,3,0.542,0.438,0.02,0.054,0.053,0.01,
NE-1,NE-1,1,0.55,0.433,0.017,0.046,0.046,0.008,
NE-2,NE-2,1,0.468,0.518,0.014,0.043,0.043,0.007,
NE-3,NE-3,1,0.72,0.258,0.022,0.055,0.055,0.011,
Nebraska,NE,2,0.576,0.406,0.018,0.043,0.043,0.009,
Nevada,NV,6,0.457,0.527,0.015,0.04,0.04,0.008,
New Hampshire,NH,4,0.445,0.545,0.01,0.061,0.061,0.005,
New Jersey,NJ,14,0.4,0.592,0.008,0.051,0.051,0.004,
New Mexico,NM,5,0.42,0.561,0.019,0.046,0.046,0.009,
New York,NY,29,0.347,0.643,0.01,0.04,0.04,0.005,
North Carolina,NC,15,0.484,0.509,0.007,0.038,0.038,0.004,
North Dakota,ND,3,0.605,0.369,0.026,0.055,0.055,0.013,
Ohio,OH,18,0.496,0.494,0.01,0.039,0.039,0.005,
Oklahoma,OK,7,0.619,0.369,0.011,0.052,0.052,0.006,
Oregon,OR,7,0.399,0.579,0.021,0.055,0.056,0.011,
Pennsylvania,PN,20,0.465,0.528,0.007,0.036,0.036,0.003,
Rhode Island,RI,4,0.359,0.628,0.013,0.05,0.05,0.006,
South Carolina,SC,9,0.536,0.455,0.009,0.042,0.042,0.004,
South Dakota,SD,3,0.584,0.402,0.014,0.058,0.058,0.007,
Tennessee,TN,11,0.575,0.415,0.01,0.053,0.054,0.005,
Texas,TX,38,0.51,0.48,0.009,0.04,0.04,0.005,
Utah,UT,6,0.563,0.408,0.029,0.055,0.054,0.015,
Vermont,VT,3,0.316,0.658,0.026,0.074,0.074,0.013,
Virginia,VA,13,0.427,0.563,0.01,0.036,0.036,0.005,
Washington,WA,12,0.366,0.613,0.022,0.055,0.055,0.011,
West Virginia,WV,5,0.63,0.352,0.019,0.068,0.067,0.009,
Wisconsin,WI,10,0.461,0.53,0.01,0.038,0.038,0.005,
Wyoming,WY,3,0.674,0.296,0.03,0.058,0.057,0.015,
